#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/F367/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEFLOWING WELL 367(DUCK LK)|*|SANRF367|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T380/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 380|*|
#SANRT380|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221018071000 12.17
20221219090100 12.29
20230119102200 10.64
20230222104600 10.10
20230325162900 6.56
20230416103600 7.23
20230516182100 7.97
20230628133000 8.66
20230726163900 9.03
20230829162100 9.07
20230918111800 9.15
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T447/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 447|*|
#SANRT447|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221031144200 37.15
20221116090300 37.28
20221213135600 37.21
20230123072800 37.29
20230215122100 37.14
20230329142900 36.86
20230401140500 36.85
20230426151400 36.76
20230515085500 36.62
20230817104900 33.95
20230927081200 33.02
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T464/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 464|*|
#SANRT464|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221027135100 14.90
20230416142800 10.97
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T509/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 509|*|
#SANRT509|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221020085000 5.65
20230118084500 2.90
20230423123800 1.90
20230729132200 2.51
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T584/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 584|*|
#SANRT584|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221031141600 8.27
20230120121000 6.22
20230416080800 3.78
20230725173200 6.54
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T647/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 647|*|
#SANRT647|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221101111700 7.90
20230426173500 4.18
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V009G/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 009G(USGS84-9;SYMMES CK)|*|SANRV009G|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221031143700 18.75
20221128103800 18.46
20221215124200 18.29
20230119074000 18.01
20230221095600 18.35
20230328111200 17.96
20230401135900 18.03
20230426151100 17.98
20230512110400 17.92
20230727091100 15.92
20230926083100 15.85
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V087/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMEOBS WELL 087|*|
#SANRV087|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221013080100 16.97
20221019091600 16.99
20221024091600 16.99
20221114103700 17.10
20221215124200 17.24
20230123083600 16.13
20230124082300 16.12
20230215093800 16.30
20230326142700 4.27
20230401150400 4.42
20230423132800 4.88
20230509074000 5.15
20230728110900 6.02
20230828112800 3.20
20230918095700 3.04
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V160/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMEOBS WELL 160|*|
#SANRV160|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20230119101800 46.87
20230415103400 45.85
20230726170100 41.82
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W428/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEW428 - (REPLACEMENT FOR W402)|*|SANRW428|*|SWATER---|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T558/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 558|*|
#SANRT558|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221024134500 3.88
20230421103100 3.88
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T655/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 655|*|
#SANRT655|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221017095100 11.25
20230415140200 10.57
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T723/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 723|*|
#SANRT723|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221013113100 21.34
20230419145900 21.32
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT18/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T18(TINEMAHA DAM)|*|SANRTT18|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221031111100 11.82
20221201111100 11.75
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT27/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T27(TINAMAHA DAM)|*|SANRTT27|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221031111100 26.67
20221201111100 26.67
20221229111100 26.68
20230301111100 26.68
20230329111100 26.66
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT36/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T36(TINEMAHA DAM)|*|SANRTT36|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V112/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMEOBS WELL 112|*|
#SANRV112|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20230119095000 62.40
20230415101800 61.02
20230726170900 55.91
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V151/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMEOBS WELL 151|*|
#SANRV151|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20230119092800 63.48
20230415101100 62.12
20230726171200 56.84
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/F037/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEFLOWING WELL 037|*|SANRF037|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/F368/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEFLOWING WELL 368|*|SANRF368|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W427/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 427 (REPLACEMENT FOR W061)|*|SANRW427|*|SWATER---|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/S006/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMESOLAR STOCK WELL S006|*|SANRS006|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/S007/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMESOLAR STOCK WELL S007|*|SANRS007|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
